cycle number,ox/red,control changes,Ns changes,time/s,step time/s,Ecell/V,<I>/mA,Capacity/mA.h,Q discharge/mA.h,Q charge/mA.h,dq/mA.h,Efficiency/%,Unnamed: 13
0.0,0,1,0,1170590.026656976,0.0,2.6996233,0.0,0.0,0.0,0.0,5.317334806831139e-09,0.0,
0.0,0,1,0,1170591.026657095,0.0,2.6993871,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170592.026657214,0.0,2.6993082,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170593.026657334,0.0,2.6990325,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170594.026657453,0.0,2.6989536,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170595.026657572,0.0,2.698875,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170596.026657691,0.0,2.6986778,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170597.02665781,0.0,2.6985991,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170598.02665793,0.0,2.6983232,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,1,0,1170599.026658049,0.0,2.698205,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0,0,0,1170600.096658174,1170600.096658174,2.6411953,-0.0005495482987686578,0.0,0.0,0.0,-1.633379856745402e-07,0.0,
0.0,0,0,1,1170600.098658174,1170600.098658174,2.6391072,-0.2932205911662206,0.0,0.0,0.0,-1.629003551271227e-07,0.0,
0.0,0,0,0,1170600.112658177,1170600.112658177,2.6283908,-0.2939801926347297,0.0,0.0,0.0,-1.143256492084927e-06,0.0,
0.0,0,0,0,1170600.134658179,1170600.134658179,2.6175561,-0.2940799507313485,0.0,0.0,0.0,-1.79715547296736e-06,0.0,
0.0,0,0,0,1170600.164658181,1170600.164658181,2.6069186,-0.2942052871365083,0.0,0.0,0.0,-2.451710899670919e-06,0.0,
0.0,0,0,0,1170600.200658187,1170600.200658187,2.5969112,-0.2941943189746182,0.0,0.0,0.0,-2.941943671968248e-06,0.0,
0.0,0,0,0,1170600.242658194,1170600.242658194,2.5867465,-0.2942240153283253,0.0,0.0,0.0,-3.432614074812995e-06,0.0,
0.0,0,0,0,1170600.290658198,1170600.290658198,2.5763452,-0.2943529828668481,0.0,0.0,0.0,-3.924706776936849e-06,0.0,
0.0,0,0,0,1170600.342658203,1170600.342658203,2.565944,-0.2942431526842326,0.0,0.0,0.0,-4.250179264280531e-06,0.0,
0.0,0,0,0,1170600.39665821,1170600.39665821,2.5558183,-0.2941979760431441,0.0,0.0,0.0,-4.4129702117708e-06,0.0,
0.0,0,0,0,1170600.452658217,1170600.452658217,2.5457718,-0.294226369563717,0.0,0.0,0.0,-4.576855235629611e-06,0.0,
0.0,0,0,0,1170600.512658226,1170600.512658226,2.5354888,-0.2942118287604134,0.0,0.0,0.0,-4.903531206978692e-06,0.0,
0.0,0,0,0,1170600.57265823,1170600.57265823,2.5254815,-0.2942249850767207,0.0,0.0,0.0,-4.903750022252401e-06,0.0,
0.0,0,0,0,1170600.636658239,1170600.636658239,2.5153167,-0.2942975766975676,0.0,0.0,0.0,-5.231957700517443e-06,0.0,
0.0,0,0,0,1170600.702658247,1170600.702658247,2.5052307,-0.2942649490766283,0.0,0.0,0.0,-5.394858055644565e-06,0.0,
0.0,0,0,0,1170600.770658256,1170600.770658256,2.4949081,-0.2943269033279356,0.0,0.0,0.0,-5.559508932961358e-06,0.0,
0.0,0,0,0,1170600.840658262,1170600.840658262,2.4847827,-0.2943121901041024,0.0,0.0,0.0,-5.722737510999043e-06,0.0,
0.0,0,0,0,1170600.914658271,1170600.914658271,2.4744997,-0.2943276928081668,0.0,0.0,0.0,-6.050069928169251e-06,0.0,
0.0,0,0,0,1170600.990658283,1170600.990658283,2.4642954,-0.2942311720673074,0.0,0.0,0.0,-6.211547984017266e-06,0.0,
0.0,0,0,0,1170601.068658289,1170601.068658289,2.4540517,-0.2942709324166955,0.0,0.0,0.0,-6.375870638423496e-06,0.0,
0.0,0,0,0,1170601.1486583,1170601.1486583,2.443887,-0.2942545000161701,0.0,0.0,0.0,-6.538989808824327e-06,0.0,
0.0,0,0,0,1170601.230658311,1170601.230658311,2.4338009,-0.2942340859880017,0.0,0.0,0.0,-6.701999571588304e-06,0.0,
0.0,0,0,0,1170601.314658318,1170601.314658318,2.4237936,-0.2942005969333767,0.0,0.0,0.0,-6.864681111441718e-06,0.0,
0.0,0,0,0,1170601.40265833,1170601.40265833,2.4137468,-0.2942007901974588,0.0,0.0,0.0,-7.191575898064507e-06,0.0,
0.0,0,0,0,1170601.492658343,1170601.492658343,2.4037397,-0.2943584364950578,0.0,0.0,0.0,-7.35896196630266e-06,0.0,
0.0,0,0,0,1170601.586658351,1170601.586658351,2.393693,-0.2944064068646791,0.0,0.0,0.0,-7.687279052204556e-06,0.0,
0.0,0,0,0,1170601.682658363,1170601.682658363,2.3836465,-0.2942216822966505,0.0,0.0,0.0,-7.845912509494358e-06,0.0,
0.0,0,0,0,1170601.782658376,1170601.782658376,2.3735604,-0.2944652232087493,0.0,0.0,0.0,-8.179590569602118e-06,0.0,
0.0,0,0,0,1170601.886658388,1170601.886658388,2.3635137,-0.2942620807142613,0.0,0.0,0.0,-8.500905566745334e-06,0.0,
0.0,0,0,0,1170601.994658403,1170601.994658403,2.3533094,-0.294332909572997,0.0,0.0,0.0,-8.82998850610521e-06,0.0,
0.0,0,0,0,1170602.106658414,1170602.106658414,2.3431447,-0.2942580294134258,0.0,0.0,0.0,-9.154695139990913e-06,0.0,
0.0,0,0,0,1170602.222658429,1170602.222658429,2.3330979,-0.2943308993167529,0.0,0.0,0.0,-9.483996894624498e-06,0.0,
0.0,0,0,0,1170602.338658441,1170602.338658441,2.3230512,-0.2943173271327381,0.0,0.0,0.0,-9.48355926407708e-06,0.0,
0.0,0,0,0,1170602.460658457,1170602.460658457,2.3130441,-0.2942730655745664,0.0,0.0,0.0,-9.972588552369012e-06,0.0,
0.0,0,0,0,1170602.588658471,1170602.588658471,2.3027215,-0.2942637415612725,0.0,0.0,0.0,-1.046271191702949e-05,0.0,
0.0,0,0,0,1170602.718658488,1170602.718658488,2.2926354,-0.2942295061635493,0.0,0.0,0.0,-1.062495582633548e-05,0.0,
0.0,0,0,0,1170602.854658503,1170602.854658503,2.2823918,-0.2942545092853672,0.0,0.0,0.0,-1.111628267500136e-05,0.0,
0.0,0,0,0,1170602.994658522,1170602.994658522,2.2723846,-0.2943459345074365,0.0,0.0,0.0,-1.144678791364034e-05,0.0,
0.0,0,0,0,1170603.136658537,1170603.136658537,2.2622986,-0.2942801673927539,0.0,0.0,0.0,-1.160771893130408e-05,0.0,
0.0,0,0,0,1170603.284658555,1170603.284658555,2.2522519,-0.2943276909560453,0.0,0.0,0.0,-1.21001398563385e-05,0.0,
0.0,0,0,0,1170603.436658572,1170603.436658572,2.2422054,-0.2943270621182773,0.0,0.0,0.0,-1.242714405059815e-05,0.0,
0.0,0,0,0,1170603.594658591,1170603.594658591,2.2321587,-0.2943623220222137,0.0,0.0,0.0,-1.2919236752722e-05,0.0,
0.0,0,0,0,1170603.760658613,1170603.760658613,2.2220726,-0.2943049211970207,0.0,0.0,0.0,-1.357072876559364e-05,0.0,
0.0,0,0,0,1170603.934658632,1170603.934658632,2.2119865,-0.2943207209664888,0.0,0.0,0.0,-1.42255030075709e-05,0.0,
0.0,0,0,0,1170604.116658654,1170604.116658654,2.2018216,-0.2944065337162576,0.0,0.0,0.0,-1.488388770156437e-05,0.0,
0.0,0,0,0,1170604.312658675,1170604.312658675,2.1916962,-0.2943680482645519,0.0,0.0,0.0,-1.602670656310188e-05,0.0,
0.0,0,0,0,1170604.518658703,1170604.518658703,2.181689,-0.2943046905657208,0.0,0.0,0.0,-1.684077070819007e-05,0.0,
0.0,0,0,0,1170604.744658731,1170604.744658731,2.1716423,-0.2943394656356889,0.0,0.0,0.0,-1.847797983222538e-05,0.0,
0.0,0,0,0,1170604.98865876,1170604.98865876,2.1615956,-0.2944635469471028,0.0,0.0,0.0,-1.995808720588684e-05,0.0,
0.0,0,0,0,1170605.260658792,1170605.260658792,2.1515491,-0.2943660055029311,0.0,0.0,0.0,-2.22409897380405e-05,0.0,
0.0,0,0,0,1170605.560658827,1170605.560658827,2.1415417,-0.2943352496938394,0.0,0.0,0.0,-2.452794035275777e-05,0.0,
0.0,0,0,0,1170605.900658866,1170605.900658866,2.1314163,-0.2943767224254359,0.0,0.0,0.0,-2.780224919319153e-05,0.0,
0.0,0,0,0,1170606.284658913,1170606.284658913,2.1213303,-0.2943940007311366,0.0,0.0,0.0,-3.140203052096897e-05,0.0,
0.0,0,0,0,1170606.720658965,1170606.720658965,2.1112442,-0.294324516577638,0.0,0.0,0.0,-3.56459735499488e-05,0.0,
0.0,0,0,0,1170607.210659023,1170607.210659023,2.1012371,-0.2943933649576991,0.0,0.0,0.0,-4.00702127483156e-05,0.0,
0.0,0,0,0,1170607.752659089,1170607.752659089,2.0912297,-0.2943498842227856,0.0,0.0,0.0,-4.431601570712196e-05,0.0,
0.0,0,0,0,1170608.354659159,1170608.354659159,2.0812225,-0.2944028618345079,0.0,0.0,0.0,-4.92307064930598e-05,0.0,
0.0,0,0,0,1170609.02265924,1170609.02265924,2.0712152,-0.2944004368984237,0.0,0.0,0.0,-5.46276432938046e-05,0.0,
0.0,0,0,0,1170609.758659328,1170609.758659328,2.061208,-0.2944032767811515,0.0,0.0,0.0,-6.018912156422933e-05,0.0,
0.0,0,0,0,1170610.554659422,1170610.554659422,2.0511613,-0.294425957684945,0.0,0.0,0.0,-6.51008583439721e-05,0.0,
0.0,0,0,0,1170611.418659523,1170611.418659523,2.0411539,-0.2943962811673046,0.0,0.0,0.0,-7.065511571036445e-05,0.0,
0.0,0,0,0,1170612.340659633,1170612.340659633,2.0311074,-0.2944248475055427,0.0,0.0,0.0,-7.540548384189606e-05,0.0,
0.0,0,0,0,1170613.336659752,1170613.336659752,2.0211,-0.2943942976793696,0.0,0.0,0.0,-8.14490987194909e-05,0.0,
0.0,0,0,0,1170614.398659879,1170614.398659879,2.0110929,-0.2943714238754286,0.0,0.0,0.0,-8.683958046966128e-05,0.0,
0.0,0,0,0,1170615.518660015,1170615.518660015,2.0010855,-0.294404316184681,0.0,0.0,0.0,-9.159246497684056e-05,0.0,
0.0,0,0,0,1170616.732660159,1170616.732660159,1.991039,-0.2943950689191281,0.0,0.0,0.0,-9.927657120757632e-05,0.0,
0.0,0,0,0,1170618.010660312,1170618.010660312,1.9810318,-0.294382482346238,0.0,0.0,0.0,-0.0001045057937171724,0.0,
0.0,0,0,0,1170619.368660472,1170619.368660472,1.9710245,-0.2943943760346908,0.0,0.0,0.0,-0.000111052113837666,0.0,
0.0,0,0,0,1170620.812660642,1170620.812660642,1.9610173,-0.2943948425642456,0.0,0.0,0.0,-0.0001180850562784407,0.0,
0.0,0,0,0,1170622.332660824,1170622.332660824,1.95101,-0.2944035020547988,0.0,0.0,0.0,-0.0001243037157588535,0.0,
