"","mode","ox.red","error","control.changes","Ns.changes","counter.inc.","Ns","I.Range","time.s","control.mA","Ewe.V","X.I..mA","dq.mA.h","X.Q.Qo..mA.h","Energy.W.h","Q.charge.discharge.mA.h","half.cycle"
"1",3,TRUE,FALSE,TRUE,FALSE,FALSE,0,115,0,0,-0.000127339953905903,0,0,0,0,0,0
"2",3,TRUE,FALSE,TRUE,FALSE,FALSE,0,115,30.0000014249235,0,-0.000166710771736689,0,0,0,0,0,0
"3",3,TRUE,FALSE,TRUE,FALSE,FALSE,0,115,60.0000028498471,0,-0.000166710771736689,0,0,0,0,0,0
"4",1,FALSE,FALSE,FALSE,TRUE,FALSE,1,115,76.0320036113262,-1.26699995994568,-0.158004283905029,-1.26612234115601,-7.03401300642225e-07,-7.03401300642225e-07,1.1114041838381e-10,-7.03401300642225e-07,0
"5",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,86.0320040863007,-1.26699995994568,-0.158004283905029,-1.26730346679688,-0.00352147029790613,-0.00352217369920678,5.5651851920618e-07,-0.00352217369920678,0
"6",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,96.0320045612752,-1.26699995994568,-0.158004283905029,-1.26690971851349,-0.00352144952025678,-0.00704362321946356,1.11292261493703e-06,-0.00704362321946356,0
"7",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,106.03200503625,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352145192318492,-0.0105650751426485,1.66932709001833e-06,-0.0105650751426485,0
"8",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,116.032005511224,-1.26699995994568,-0.158004283905029,-1.26789402961731,-0.00352147084487809,-0.0140865459875266,2.22573455537359e-06,-0.0140865459875266,0
"9",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,126.032005986199,-1.26699995994568,-0.158004283905029,-1.26710665225983,-0.00352146089388265,-0.0176080068814092,2.78214044800235e-06,-0.0176080068814092,0
"10",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,136.032006461173,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352144525097476,-0.021129452132384,3.33854386880166e-06,-0.021129452132384,0
"11",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,146.032006936148,-1.26699995994568,-0.158004283905029,-1.26789402961731,-0.00352149249633153,-0.0246509446287155,3.89495475464397e-06,-0.0246509446287155,0
"12",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,156.032007411122,-1.26699995994568,-0.158004283905029,-1.26750028133392,-0.0035215755004353,-0.0281725201291508,4.4513787555529e-06,-0.0281725201291508,0
"13",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,166.032007886097,-1.26699995994568,-0.158004283905029,-1.26809084415436,-0.00352154619475206,-0.0316940663239029,5.00779812625713e-06,-0.0316940663239029,0
"14",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,176.032008361071,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352151207182142,-0.0352155783957243,5.56421210511691e-06,-0.0352155783957243,0
"15",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,186.032008836046,-1.26699995994568,-0.158004283905029,-1.26730346679688,-0.0035215141485797,-0.038737092544304,6.120626411587e-06,-0.038737092544304,0
"16",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,196.03200931102,-1.26699995994568,-0.158004283905029,-1.26809084415436,-0.00352152355511983,-0.0422586160994238,6.67704220507708e-06,-0.0422586160994238,0
"17",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,206.032009785995,-1.26699995994568,-0.158004283905029,-1.26828765869141,-0.00352154641032219,-0.045780162509746,7.2334616093172e-06,-0.045780162509746,0
"18",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,216.032010260969,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352149741874801,-0.049301659928494,7.78987327317397e-06,-0.049301659928494,0
"19",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,226.032010735944,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352151808599631,-0.0528231780144903,8.34628820225596e-06,-0.0528231780144903,0
"20",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,236.032011210918,-1.26699995994568,-0.158004283905029,-1.26809084415436,-0.0035214619840516,-0.0563446399985419,8.90269426724977e-06,-0.0563446399985419,0
"21",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,246.032011685893,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352147128264109,-0.059866111281183,9.45910180151462e-06,-0.059866111281183,0
"22",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,256.032012160867,-1.26699995994568,-0.158004283905029,-1.26789402961731,-0.00352149195227358,-0.0633876032334566,1.00155126015097e-05,-0.0633876032334566,0
"23",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,266.032012635842,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352150704390473,-0.0669091102773613,1.05719257863528e-05,-0.0669091102773613,0
"24",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,276.032013110816,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352149632387691,-0.0704306066012382,1.11283372771574e-05,-0.0704306066012382,0
"25",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,286.032013585791,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352150890111923,-0.0739521155023575,1.16847507549988e-05,-0.0739521155023575,0
"26",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,296.032014060766,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.0035215260698398,-0.0774736415721973,1.22411669453813e-05,-0.0774736415721973,0
"27",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,306.03201453574,-1.26699995994568,-0.158004283905029,-1.26848447322845,-0.0035214634097947,-0.080995104981992,1.27975732360035e-05,-0.080995104981992,0
"28",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,316.032015010715,-1.26699995994568,-0.158004283905029,-1.26789402961731,-0.00352149522960186,-0.0845166002115938,1.33539845534083e-05,-0.0845166002115938,0
"29",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,326.032015485689,-1.26699995994568,-0.158004283905029,-1.26789402961731,-0.0035214709556765,-0.0880380711672703,1.39103920364463e-05,-0.0880380711672703,0
"30",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,336.032015960664,-1.26699995994568,-0.158004283905029,-1.26710665225983,-0.00352146439267529,-0.0915595355599456,1.44667984816763e-05,-0.0915595355599456,0
"31",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,346.032016435638,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352148341967,-0.0950810189796156,1.50232079334143e-05,-0.0950810189796156,0
"32",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,356.032016910613,-1.26699995994568,-0.158004283905029,-1.26750028133392,-0.0035214242575566,-0.0986024432371722,1.5579608037389e-05,-0.0986024432371722,0
"33",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,366.032017385587,-1.26699995994568,-0.158004283905029,-1.26750028133392,-0.00352141769634353,-0.102123860933516,1.61360071046899e-05,-0.102123860933516,0
"34",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,376.032017860562,-1.26699995994568,-0.158004283905029,-1.26809084415436,-0.00352145859513018,-0.105645319528646,1.66924126340863e-05,-0.105645319528646,0
"35",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,386.032018335536,-1.26699995994568,-0.158004283905029,-1.26750028133392,-0.00352147423273987,-0.109166793761386,1.72488206341532e-05,-0.109166793761386,0
"36",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,396.032018810511,-1.26699995994568,-0.158004283905029,-1.26769709587097,-0.00352146975093418,-0.11268826351232,1.78052279265142e-05,-0.11268826351232,0
"37",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,406.032019285485,-1.26699995994568,-0.158004283905029,-1.26710665225983,-0.00352143060266972,-0.11620969411499,1.8361629033693e-05,-0.11620969411499,0
"38",1,FALSE,TRUE,FALSE,FALSE,FALSE,1,115,416.03201976046,-1.26699995994568,-0.157413721084595,-1.26789402961731,-0.00352143683314323,-0.119731130948133,1.89172608275298e-05,-0.119731130948133,0
"39",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,426.032020235434,-1.26699995994568,-0.156586930155754,-1.26769709587097,-0.00352149052825239,-0.123252621476385,1.94702897572352e-05,-0.123252621476385,0
"40",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,436.032020710409,-1.26699995994568,-0.155799522995949,-1.26809084415436,-0.00352146985868613,-0.126774091335071,2.00204209614628e-05,-0.126774091335071,0
"41",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,446.032021185383,-1.26699995994568,-0.154972732067108,-1.26710665225983,-0.00352150081078211,-0.130295592145854,2.05674696424769e-05,-0.130295592145854,0
"42",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,456.032021660358,-1.26699995994568,-0.154185310006142,-1.26690971851349,-0.00352144919004705,-0.133817041335901,2.1111797044509e-05,-0.133817041335901,0
"43",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,466.032022135332,-1.26699995994568,-0.153594747185707,-1.26809084415436,-0.00352148178040981,-0.13733852311631,2.16539227279193e-05,-0.13733852311631,0
"44",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,476.032022610307,-1.26699995994568,-0.15316167473793,-1.26789402961731,-0.00352145717534754,-0.140859980291658,2.21936527296652e-05,-0.140859980291658,0
"45",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,486.032023085281,-1.26699995994568,-0.152413621544838,-1.26750028133392,-0.00352144908070564,-0.144381429372364,2.27313174616214e-05,-0.144381429372364,0
"46",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,496.032023560256,-1.26699995994568,-0.151783689856529,-1.26750028133392,-0.00352145301984416,-0.147902882392208,2.32668268574857e-05,-0.147902882392208,0
"47",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,506.03202403523,-1.26699995994568,-0.151193127036095,-1.26710665225983,-0.00352144864466455,-0.151424331036872,2.38001968507551e-05,-0.151424331036872,0
"48",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,516.032024510205,-1.26699995994568,-0.150523826479912,-1.26789402961731,-0.00352149927675724,-0.15494583031363,2.43312044600646e-05,-0.15494583031363,0
"49",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,526.032024985179,-1.26699995994568,-0.149815157055855,-1.26730346679688,-0.00352147040552563,-0.158467300719155,2.48598813036333e-05,-0.158467300719155,0
"50",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,536.032025460154,-1.26699995994568,-0.14922459423542,-1.26769709587097,-0.00352152650965585,-0.161988827228811,2.53863259827346e-05,-0.161988827228811,0
"51",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,546.032025935128,-1.26699995994568,-0.148555293679237,-1.26828765869141,-0.00352150026096238,-0.165510327489773,2.59108615058081e-05,-0.165510327489773,0
"52",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,556.032026410103,-1.26699995994568,-0.148082837462425,-1.26730346679688,-0.00352153787970543,-0.169031865369479,2.6433016358109e-05,-0.169031865369479,0
