cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	
0.000000000000000E+000	1	1	0	0.000000000000000E+000	0.000000000000000E+000	2.6477892E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	1.000000047497451E+000	0.000000000000000E+000	2.6477892E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	2.000000094994903E+000	0.000000000000000E+000	2.6478679E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	3.000000142492354E+000	0.000000000000000E+000	2.6477892E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	4.000000189989805E+000	0.000000000000000E+000	2.6479073E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	5.000000237487257E+000	0.000000000000000E+000	2.6478679E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	6.000000284984708E+000	0.000000000000000E+000	2.6478286E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	7.000000332482159E+000	0.000000000000000E+000	2.6477892E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	8.000000379979610E+000	0.000000000000000E+000	2.6477892E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
0.000000000000000E+000	1	1	0	9.000000427477062E+000	0.000000000000000E+000	2.6478286E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
