cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	Efficiency/%	
0.000000000000000E+000	0	1	0	1.170590026656976E+006	0.000000000000000E+000	2.6996233E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.317334806831139E-009	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170591026657095E+006	0.000000000000000E+000	2.6993871E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170592026657214E+006	0.000000000000000E+000	2.6993082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170593026657334E+006	0.000000000000000E+000	2.6990325E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170594026657453E+006	0.000000000000000E+000	2.6989536E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170595026657572E+006	0.000000000000000E+000	2.6988750E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170596026657691E+006	0.000000000000000E+000	2.6986778E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170597026657810E+006	0.000000000000000E+000	2.6985991E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170598026657930E+006	0.000000000000000E+000	2.6983232E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	1	0	1.170599026658049E+006	0.000000000000000E+000	2.6982050E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600096658174E+006	1.170600096658174E+006	2.6411953E+000	-5.495482987686578E-004	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.633379856745402E-007	0.0000000E+000
0.000000000000000E+000	0	0	1	1.170600098658174E+006	1.170600098658174E+006	2.6391072E+000	-2.932205911662206E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.629003551271227E-007	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600112658177E+006	1.170600112658177E+006	2.6283908E+000	-2.939801926347297E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.143256492084927E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600134658179E+006	1.170600134658179E+006	2.6175561E+000	-2.940799507313485E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.797155472967360E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600164658181E+006	1.170600164658181E+006	2.6069186E+000	-2.942052871365083E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-2.451710899670919E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600200658187E+006	1.170600200658187E+006	2.5969112E+000	-2.941943189746182E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-2.941943671968248E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600242658194E+006	1.170600242658194E+006	2.5867465E+000	-2.942240153283253E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-3.432614074812995E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600290658198E+006	1.170600290658198E+006	2.5763452E+000	-2.943529828668481E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-3.924706776936849E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600342658203E+006	1.170600342658203E+006	2.5659440E+000	-2.942431526842326E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.250179264280531E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600396658210E+006	1.170600396658210E+006	2.5558183E+000	-2.941979760431441E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.412970211770800E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600452658217E+006	1.170600452658217E+006	2.5457718E+000	-2.942263695637170E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.576855235629611E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600512658226E+006	1.170600512658226E+006	2.5354888E+000	-2.942118287604134E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.903531206978692E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600572658230E+006	1.170600572658230E+006	2.5254815E+000	-2.942249850767207E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.903750022252401E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600636658239E+006	1.170600636658239E+006	2.5153167E+000	-2.942975766975676E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-5.231957700517443E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600702658247E+006	1.170600702658247E+006	2.5052307E+000	-2.942649490766283E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-5.394858055644565E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600770658256E+006	1.170600770658256E+006	2.4949081E+000	-2.943269033279356E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-5.559508932961358E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600840658262E+006	1.170600840658262E+006	2.4847827E+000	-2.943121901041024E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-5.722737510999043E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600914658271E+006	1.170600914658271E+006	2.4744997E+000	-2.943276928081668E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.050069928169251E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170600990658283E+006	1.170600990658283E+006	2.4642954E+000	-2.942311720673074E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.211547984017266E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601068658289E+006	1.170601068658289E+006	2.4540517E+000	-2.942709324166955E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.375870638423496E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601148658300E+006	1.170601148658300E+006	2.4438870E+000	-2.942545000161701E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.538989808824327E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601230658311E+006	1.170601230658311E+006	2.4338009E+000	-2.942340859880017E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.701999571588304E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601314658318E+006	1.170601314658318E+006	2.4237936E+000	-2.942005969333767E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.864681111441718E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601402658330E+006	1.170601402658330E+006	2.4137468E+000	-2.942007901974588E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-7.191575898064507E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601492658343E+006	1.170601492658343E+006	2.4037397E+000	-2.943584364950578E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-7.358961966302660E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601586658351E+006	1.170601586658351E+006	2.3936930E+000	-2.944064068646791E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-7.687279052204556E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601682658363E+006	1.170601682658363E+006	2.3836465E+000	-2.942216822966505E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-7.845912509494358E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601782658376E+006	1.170601782658376E+006	2.3735604E+000	-2.944652232087493E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-8.179590569602118E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601886658388E+006	1.170601886658388E+006	2.3635137E+000	-2.942620807142613E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-8.500905566745334E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170601994658403E+006	1.170601994658403E+006	2.3533094E+000	-2.943329095729970E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-8.829988506105211E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602106658414E+006	1.170602106658414E+006	2.3431447E+000	-2.942580294134258E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-9.154695139990913E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602222658429E+006	1.170602222658429E+006	2.3330979E+000	-2.943308993167529E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-9.483996894624498E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602338658441E+006	1.170602338658441E+006	2.3230512E+000	-2.943173271327381E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-9.483559264077081E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602460658457E+006	1.170602460658457E+006	2.3130441E+000	-2.942730655745664E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-9.972588552369012E-006	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602588658471E+006	1.170602588658471E+006	2.3027215E+000	-2.942637415612725E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.046271191702949E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602718658488E+006	1.170602718658488E+006	2.2926354E+000	-2.942295061635493E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.062495582633548E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602854658503E+006	1.170602854658503E+006	2.2823918E+000	-2.942545092853672E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.111628267500136E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170602994658522E+006	1.170602994658522E+006	2.2723846E+000	-2.943459345074365E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.144678791364034E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170603136658537E+006	1.170603136658537E+006	2.2622986E+000	-2.942801673927539E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.160771893130408E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170603284658555E+006	1.170603284658555E+006	2.2522519E+000	-2.943276909560453E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.210013985633850E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170603436658572E+006	1.170603436658572E+006	2.2422054E+000	-2.943270621182773E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.242714405059815E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170603594658591E+006	1.170603594658591E+006	2.2321587E+000	-2.943623220222137E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.291923675272200E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170603760658613E+006	1.170603760658613E+006	2.2220726E+000	-2.943049211970207E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.357072876559364E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170603934658632E+006	1.170603934658632E+006	2.2119865E+000	-2.943207209664888E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.422550300757090E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170604116658654E+006	1.170604116658654E+006	2.2018216E+000	-2.944065337162576E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.488388770156437E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170604312658675E+006	1.170604312658675E+006	2.1916962E+000	-2.943680482645519E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.602670656310188E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170604518658703E+006	1.170604518658703E+006	2.1816890E+000	-2.943046905657208E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.684077070819007E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170604744658731E+006	1.170604744658731E+006	2.1716423E+000	-2.943394656356889E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.847797983222538E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170604988658760E+006	1.170604988658760E+006	2.1615956E+000	-2.944635469471028E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.995808720588684E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170605260658792E+006	1.170605260658792E+006	2.1515491E+000	-2.943660055029311E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-2.224098973804050E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170605560658827E+006	1.170605560658827E+006	2.1415417E+000	-2.943352496938394E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-2.452794035275777E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170605900658866E+006	1.170605900658866E+006	2.1314163E+000	-2.943767224254359E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-2.780224919319153E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170606284658913E+006	1.170606284658913E+006	2.1213303E+000	-2.943940007311366E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-3.140203052096897E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170606720658965E+006	1.170606720658965E+006	2.1112442E+000	-2.943245165776380E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-3.564597354994880E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170607210659023E+006	1.170607210659023E+006	2.1012371E+000	-2.943933649576991E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.007021274831560E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170607752659089E+006	1.170607752659089E+006	2.0912297E+000	-2.943498842227856E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.431601570712196E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170608354659159E+006	1.170608354659159E+006	2.0812225E+000	-2.944028618345079E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-4.923070649305980E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170609022659240E+006	1.170609022659240E+006	2.0712152E+000	-2.944004368984237E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-5.462764329380460E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170609758659328E+006	1.170609758659328E+006	2.0612080E+000	-2.944032767811515E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.018912156422933E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170610554659422E+006	1.170610554659422E+006	2.0511613E+000	-2.944259576849450E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-6.510085834397209E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170611418659523E+006	1.170611418659523E+006	2.0411539E+000	-2.943962811673046E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-7.065511571036445E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170612340659633E+006	1.170612340659633E+006	2.0311074E+000	-2.944248475055427E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-7.540548384189606E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170613336659752E+006	1.170613336659752E+006	2.0211000E+000	-2.943942976793696E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-8.144909871949090E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170614398659879E+006	1.170614398659879E+006	2.0110929E+000	-2.943714238754286E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-8.683958046966128E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170615518660015E+006	1.170615518660015E+006	2.0010855E+000	-2.944043161846810E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-9.159246497684055E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170616732660159E+006	1.170616732660159E+006	1.9910390E+000	-2.943950689191281E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-9.927657120757633E-005	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170618010660312E+006	1.170618010660312E+006	1.9810318E+000	-2.943824823462380E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.045057937171724E-004	0.0000000E+000
0.000000000000000E+000	0	0	0	1.170619368660472E+006	1.170619368660472E+006	1.9710245E+000	-2.943943760346908E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	-1.110521138376660E-004	0.0000000E+000
