"","mode","ox.red","error","control.changes","Ns.changes","counter.inc.","Ns","time.s","dq.mA.h","X.Q.Qo..mA.h","control.V.mA","Ewe.V","I.Range","Q.charge.discharge.mA.h","half.cycle"
"1",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170590.02665698,5.31733480683114e-09,5.31733480683114e-09,0,2.69962334632874,115,0,0
"2",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170591.0266571,0,5.31733480683114e-09,0,2.69938707351685,115,0,0
"3",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170592.02665721,0,5.31733480683114e-09,0,2.69930815696716,115,0,0
"4",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170593.02665733,0,5.31733480683114e-09,0,2.69903254508972,115,0,0
"5",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170594.02665745,0,5.31733480683114e-09,0,2.69895362854004,115,0,0
"6",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170595.02665757,0,5.31733480683114e-09,0,2.69887495040894,115,0,0
"7",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170596.02665769,0,5.31733480683114e-09,0,2.69867777824402,115,0,0
"8",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170597.02665781,0,5.31733480683114e-09,0,2.69859910011292,115,0,0
"9",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170598.02665793,0,5.31733480683114e-09,0,2.69832324981689,115,0,0
"10",3,FALSE,FALSE,TRUE,FALSE,FALSE,0,1170599.02665805,0,5.31733480683114e-09,0,2.69820499420166,115,0,0
"11",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1170600.09665817,-1.6333798567454e-07,-1.58020650867709e-07,-0.294200032949448,2.64119529724121,115,0,0
"12",1,FALSE,FALSE,FALSE,TRUE,FALSE,1,1170600.09865817,-1.62900355127123e-07,-3.20921005994832e-07,-0.294200032949448,2.63910722732544,115,0,0
